time_utc,symbol,direction,score,reason,details
2026-01-15T16:00:22+00:00,BLK,bullish,4.030,order_validation_failed,Order $1148.00 exceeds max position size $825.00
2026-01-15T16:00:22+00:00,BLK,bullish,4.031,order_validation_failed,Order $1148.00 exceeds max position size $825.00
2026-01-15T16:01:37+00:00,C,bearish,3.619,max_new_positions_per_cycle,—
2026-01-15T16:01:37+00:00,C,bearish,3.619,max_new_positions_per_cycle,—
2026-01-15T16:01:37+00:00,V,bearish,3.597,max_new_positions_per_cycle,—
2026-01-15T16:01:37+00:00,V,bearish,3.597,max_new_positions_per_cycle,—
2026-01-15T16:01:37+00:00,XLF,bearish,3.567,max_new_positions_per_cycle,—
2026-01-15T16:01:37+00:00,XLF,bearish,3.567,max_new_positions_per_cycle,—
2026-01-15T16:01:37+00:00,XLE,bearish,3.567,max_new_positions_per_cycle,—
2026-01-15T16:01:37+00:00,XLE,bearish,3.567,max_new_positions_per_cycle,—
2026-01-15T16:01:37+00:00,XLP,bearish,3.567,max_new_positions_per_cycle,—
2026-01-15T16:01:37+00:00,XLP,bearish,3.567,max_new_positions_per_cycle,—
2026-01-15T16:01:37+00:00,BA,bearish,3.559,max_new_positions_per_cycle,—
2026-01-15T16:01:40+00:00,BA,bearish,3.559,max_new_positions_per_cycle,—
2026-01-15T16:01:40+00:00,AAPL,bullish,3.535,max_new_positions_per_cycle,—
2026-01-15T16:01:40+00:00,AAPL,bullish,3.535,max_new_positions_per_cycle,—
2026-01-15T16:01:40+00:00,NVDA,bearish,3.528,max_new_positions_per_cycle,—
2026-01-15T16:01:40+00:00,NVDA,bearish,3.528,max_new_positions_per_cycle,—
2026-01-15T16:01:43+00:00,COST,bearish,3.528,max_new_positions_per_cycle,—
2026-01-15T16:01:43+00:00,COST,bearish,3.528,max_new_positions_per_cycle,—
2026-01-15T16:01:43+00:00,F,bearish,3.528,max_new_positions_per_cycle,—
2026-01-15T16:01:43+00:00,F,bearish,3.528,max_new_positions_per_cycle,—
2026-01-15T16:01:43+00:00,XLK,bearish,3.495,max_new_positions_per_cycle,—
2026-01-15T16:01:43+00:00,XLK,bearish,3.495,max_new_positions_per_cycle,—
2026-01-15T16:01:43+00:00,DIA,bearish,3.495,max_new_positions_per_cycle,—
2026-01-15T16:01:43+00:00,DIA,bearish,3.495,max_new_positions_per_cycle,—
2026-01-15T16:01:43+00:00,PLTR,bearish,3.495,max_new_positions_per_cycle,—
2026-01-15T16:01:43+00:00,PLTR,bearish,3.495,max_new_positions_per_cycle,—
2026-01-15T16:01:44+00:00,SLB,bearish,3.495,max_new_positions_per_cycle,—
2026-01-15T16:01:44+00:00,SLB,bearish,3.495,max_new_positions_per_cycle,—
2026-01-15T16:01:47+00:00,JPM,bearish,3.495,max_new_positions_per_cycle,—
2026-01-15T16:01:47+00:00,JPM,bearish,3.495,max_new_positions_per_cycle,—
2026-01-15T16:01:47+00:00,XLV,bearish,3.495,max_new_positions_per_cycle,—
2026-01-15T16:01:47+00:00,XLV,bearish,3.495,max_new_positions_per_cycle,—
2026-01-15T16:01:47+00:00,RIVN,bearish,3.485,max_new_positions_per_cycle,—
2026-01-15T16:01:47+00:00,RIVN,bearish,3.485,max_new_positions_per_cycle,—
2026-01-15T16:01:47+00:00,QQQ,bearish,3.481,max_new_positions_per_cycle,—
2026-01-15T16:01:47+00:00,QQQ,bearish,3.481,max_new_positions_per_cycle,—
2026-01-15T16:01:47+00:00,SPY,bearish,3.481,max_new_positions_per_cycle,—
2026-01-15T16:01:47+00:00,SPY,bearish,3.481,max_new_positions_per_cycle,—
2026-01-15T16:01:50+00:00,CVX,bearish,3.481,max_new_positions_per_cycle,—
2026-01-15T16:01:50+00:00,CVX,bearish,3.481,max_new_positions_per_cycle,—
2026-01-15T16:01:50+00:00,NFLX,bearish,3.467,max_new_positions_per_cycle,—
2026-01-15T16:01:50+00:00,NFLX,bearish,3.467,max_new_positions_per_cycle,—
2026-01-15T16:01:50+00:00,GOOGL,bullish,3.445,max_new_positions_per_cycle,—
2026-01-15T16:01:50+00:00,GOOGL,bullish,3.445,max_new_positions_per_cycle,—
2026-01-15T16:01:50+00:00,PFE,bearish,3.445,max_new_positions_per_cycle,—
